BoxCode,W,D,H
942-7618,152.4,133.4,68.6
942-7619,198.1,154.9,63.5
942-04932,152.4,133.4,30
942-03867,200,125,40
942-02303,215,150,60
942-7450,270,206,84
942-00974,220.2,170.2,59.9
942-02084,308,234,98
942-02083,288,190,70
942-02053,332,103,33.5
942-02054,285,87,20
942-01467,492,192,50
942-01468,440,156,40
942-00755,270,105,43
942-00756,220,74,33.3
