BoxCode,W,D,H
942-04561,154,148,70
942-03872,262.4,184.7,51.4
670-03080,254,185,49.4
942-04337,207,146.4,50.7
670-02590,150,82.3,27
670-03113,160,90,28
670-02621,165,89.6,28.1
670-02499,179.3,96.2,28.1
